ENSG00000263185 	 ENST00000571438 	 ENSE00002722659
ENSG00000261843 	 ENST00000586105 	 ENSE00002874386
ENSG00000261843 	 ENST00000586105 	 ENSE00002883812
ENSG00000261843 	 ENST00000586105 	 ENSE00002672463
ENSG00000261843 	 ENST00000586105 	 ENSE00002811312
ENSG00000261843 	 ENST00000586105 	 ENSE00002937316
ENSG00000261843 	 ENST00000574362 	 ENSE00002668769
ENSG00000261843 	 ENST00000574362 	 ENSE00002773622
ENSG00000261843 	 ENST00000574362 	 ENSE00002747157
ENSG00000261843 	 ENST00000574362 	 ENSE00002955492
ENSG00000261843 	 ENST00000574362 	 ENSE00002819181
ENSG00000261843 	 ENST00000574362 	 ENSE00002920544
ENSG00000261843 	 ENST00000574362 	 ENSE00002813355
ENSG00000261843 	 ENST00000574362 	 ENSE00002874386
ENSG00000261843 	 ENST00000574362 	 ENSE00002883812
ENSG00000261843 	 ENST00000574362 	 ENSE00002672463
ENSG00000261843 	 ENST00000574362 	 ENSE00002808493
ENSG00000261843 	 ENST00000571241 	 ENSE00002655472
ENSG00000261843 	 ENST00000571241 	 ENSE00002825666
ENSG00000261843 	 ENST00000571241 	 ENSE00002773622
ENSG00000261843 	 ENST00000571241 	 ENSE00002747157
ENSG00000261843 	 ENST00000571241 	 ENSE00002955492
ENSG00000261843 	 ENST00000571241 	 ENSE00002819181
ENSG00000261843 	 ENST00000571241 	 ENSE00002920544
ENSG00000261843 	 ENST00000571241 	 ENSE00002813355
ENSG00000261843 	 ENST00000571241 	 ENSE00002874386
ENSG00000261843 	 ENST00000571241 	 ENSE00002883812
ENSG00000261843 	 ENST00000571241 	 ENSE00002672463
ENSG00000261843 	 ENST00000571241 	 ENSE00002640109
ENSG00000261843 	 ENST00000574853 	 ENSE00002679622
ENSG00000261843 	 ENST00000574853 	 ENSE00002747157
ENSG00000261843 	 ENST00000574853 	 ENSE00002955492
ENSG00000261843 	 ENST00000574853 	 ENSE00002819181
ENSG00000261843 	 ENST00000574853 	 ENSE00002920544
ENSG00000261843 	 ENST00000574853 	 ENSE00002813355
ENSG00000261843 	 ENST00000574853 	 ENSE00002874386
ENSG00000261843 	 ENST00000574853 	 ENSE00002883812
ENSG00000261843 	 ENST00000574853 	 ENSE00002672463
ENSG00000261843 	 ENST00000574853 	 ENSE00002640109
ENSG00000261843 	 ENST00000575088 	 ENSE00002906751
ENSG00000261843 	 ENST00000575088 	 ENSE00002774091
ENSG00000261843 	 ENST00000575088 	 ENSE00002955492
ENSG00000261843 	 ENST00000575088 	 ENSE00002819181
ENSG00000261843 	 ENST00000575088 	 ENSE00002920544
ENSG00000261843 	 ENST00000575088 	 ENSE00002813355
ENSG00000261843 	 ENST00000575088 	 ENSE00002874386
ENSG00000261843 	 ENST00000575088 	 ENSE00002883812
ENSG00000261843 	 ENST00000575088 	 ENSE00002672463
ENSG00000261843 	 ENST00000575088 	 ENSE00002808493
ENSG00000261843 	 ENST00000591339 	 ENSE00002948650
ENSG00000261843 	 ENST00000591339 	 ENSE00002774091
ENSG00000261843 	 ENST00000591339 	 ENSE00002955492
ENSG00000261843 	 ENST00000591339 	 ENSE00002819181
ENSG00000261843 	 ENST00000591339 	 ENSE00002920544
ENSG00000261843 	 ENST00000591339 	 ENSE00002813355
ENSG00000261843 	 ENST00000591339 	 ENSE00002874386
ENSG00000261843 	 ENST00000591339 	 ENSE00002883812
ENSG00000261843 	 ENST00000591339 	 ENSE00002672463
ENSG00000261843 	 ENST00000591339 	 ENSE00002821065
ENSG00000261843 	 ENST00000585924 	 ENSE00002851353
ENSG00000261843 	 ENST00000585924 	 ENSE00002774091
ENSG00000261843 	 ENST00000585924 	 ENSE00002955492
ENSG00000261843 	 ENST00000585924 	 ENSE00002819181
ENSG00000261843 	 ENST00000585924 	 ENSE00002920544
ENSG00000261843 	 ENST00000585924 	 ENSE00002813355
ENSG00000261843 	 ENST00000585924 	 ENSE00002874386
ENSG00000261843 	 ENST00000585924 	 ENSE00002883812
ENSG00000261843 	 ENST00000585924 	 ENSE00002672463
ENSG00000261843 	 ENST00000585924 	 ENSE00002860315
ENSG00000262673 	 ENST00000576626 	 ENSE00002848496
ENSG00000262673 	 ENST00000576626 	 ENSE00002636755
ENSG00000262673 	 ENST00000576626 	 ENSE00002747359
ENSG00000262673 	 ENST00000576626 	 ENSE00002640606
ENSG00000262673 	 ENST00000576626 	 ENSE00002673914
ENSG00000262673 	 ENST00000576626 	 ENSE00002926078
ENSG00000262924 	 ENST00000573787 	 ENSE00002679419
ENSG00000262924 	 ENST00000573787 	 ENSE00002678242
ENSG00000262924 	 ENST00000573787 	 ENSE00002633491
ENSG00000262924 	 ENST00000573787 	 ENSE00002638570
ENSG00000262924 	 ENST00000573787 	 ENSE00002680858
ENSG00000262924 	 ENST00000573787 	 ENSE00002652973
ENSG00000262924 	 ENST00000573787 	 ENSE00002675160
ENSG00000262924 	 ENST00000573787 	 ENSE00002666169
ENSG00000262924 	 ENST00000573787 	 ENSE00002646115
ENSG00000262924 	 ENST00000573787 	 ENSE00002636698
ENSG00000262924 	 ENST00000573787 	 ENSE00002635890
ENSG00000262924 	 ENST00000573787 	 ENSE00002672876
ENSG00000262924 	 ENST00000573787 	 ENSE00002771712
ENSG00000262924 	 ENST00000573787 	 ENSE00002656285
ENSG00000262976 	 ENST00000573255 	 ENSE00002654979
ENSG00000262976 	 ENST00000573255 	 ENSE00002643701
ENSG00000262976 	 ENST00000573255 	 ENSE00002669263
ENSG00000262976 	 ENST00000573255 	 ENSE00002684217
ENSG00000262976 	 ENST00000573255 	 ENSE00002660107
ENSG00000262976 	 ENST00000573255 	 ENSE00002666725
ENSG00000262976 	 ENST00000573255 	 ENSE00002797922
ENSG00000262976 	 ENST00000573255 	 ENSE00002633723
ENSG00000262976 	 ENST00000573255 	 ENSE00002678420
ENSG00000262976 	 ENST00000573255 	 ENSE00002674899
ENSG00000262976 	 ENST00000573255 	 ENSE00002643986
ENSG00000262976 	 ENST00000573255 	 ENSE00002632180
ENSG00000262976 	 ENST00000573255 	 ENSE00002670307
ENSG00000263295 	 ENST00000572133 	 ENSE00002952065
ENSG00000263295 	 ENST00000572133 	 ENSE00002868303
ENSG00000263295 	 ENST00000572133 	 ENSE00002856938
ENSG00000263295 	 ENST00000572133 	 ENSE00002842546
ENSG00000263295 	 ENST00000572133 	 ENSE00002808019
ENSG00000263295 	 ENST00000572133 	 ENSE00002918774
ENSG00000263295 	 ENST00000572133 	 ENSE00002878922
ENSG00000263295 	 ENST00000572133 	 ENSE00002869917
ENSG00000263295 	 ENST00000572133 	 ENSE00002906525
ENSG00000263295 	 ENST00000572133 	 ENSE00002957126
ENSG00000263295 	 ENST00000572133 	 ENSE00002801453
ENSG00000263295 	 ENST00000572133 	 ENSE00002878763
ENSG00000263295 	 ENST00000572133 	 ENSE00002763965
ENSG00000263295 	 ENST00000572133 	 ENSE00002745802
ENSG00000263295 	 ENST00000572133 	 ENSE00002896078
ENSG00000263295 	 ENST00000572133 	 ENSE00002762713
ENSG00000263295 	 ENST00000572133 	 ENSE00002641827
ENSG00000263295 	 ENST00000572133 	 ENSE00002642770
ENSG00000263295 	 ENST00000572133 	 ENSE00002659247
ENSG00000263295 	 ENST00000572133 	 ENSE00002668838
ENSG00000263295 	 ENST00000572780 	 ENSE00002661543
ENSG00000263295 	 ENST00000572780 	 ENSE00002878922
ENSG00000263295 	 ENST00000572780 	 ENSE00002869917
ENSG00000263295 	 ENST00000572780 	 ENSE00002906525
ENSG00000263295 	 ENST00000572780 	 ENSE00002957126
ENSG00000263295 	 ENST00000572780 	 ENSE00002801453
ENSG00000263295 	 ENST00000572780 	 ENSE00002878763
ENSG00000263295 	 ENST00000572780 	 ENSE00002763965
ENSG00000263295 	 ENST00000572780 	 ENSE00002745802
ENSG00000263295 	 ENST00000572780 	 ENSE00002896078
ENSG00000263295 	 ENST00000572780 	 ENSE00002762713
ENSG00000263295 	 ENST00000572780 	 ENSE00002641827
ENSG00000263295 	 ENST00000572780 	 ENSE00002642770
ENSG00000263295 	 ENST00000572780 	 ENSE00002659247
ENSG00000263295 	 ENST00000572780 	 ENSE00002876528
ENSG00000262092 	 ENST00000570966 	 ENSE00002832819
ENSG00000262092 	 ENST00000570966 	 ENSE00002788678
ENSG00000262092 	 ENST00000570966 	 ENSE00002950418
ENSG00000262092 	 ENST00000570966 	 ENSE00002970958
ENSG00000262092 	 ENST00000570966 	 ENSE00002774587
ENSG00000262092 	 ENST00000570966 	 ENSE00002769693
ENSG00000262092 	 ENST00000570966 	 ENSE00002936132
ENSG00000262092 	 ENST00000570966 	 ENSE00002868715
ENSG00000262092 	 ENST00000570966 	 ENSE00002968396
ENSG00000262092 	 ENST00000570966 	 ENSE00002806265
ENSG00000262092 	 ENST00000570966 	 ENSE00002770822
ENSG00000262092 	 ENST00000570966 	 ENSE00002823897
ENSG00000262092 	 ENST00000570966 	 ENSE00002808557
ENSG00000262092 	 ENST00000570966 	 ENSE00002910939
ENSG00000262092 	 ENST00000570966 	 ENSE00002969998
ENSG00000262092 	 ENST00000570966 	 ENSE00002879506
ENSG00000262092 	 ENST00000570966 	 ENSE00002658643
ENSG00000262092 	 ENST00000570966 	 ENSE00002682412
ENSG00000262092 	 ENST00000570966 	 ENSE00002635216
ENSG00000262092 	 ENST00000570966 	 ENSE00002634000
ENSG00000262092 	 ENST00000573442 	 ENSE00002655701
ENSG00000262092 	 ENST00000573442 	 ENSE00002936132
ENSG00000262092 	 ENST00000573442 	 ENSE00002868715
ENSG00000262092 	 ENST00000573442 	 ENSE00002968396
ENSG00000262092 	 ENST00000573442 	 ENSE00002806265
ENSG00000262092 	 ENST00000573442 	 ENSE00002770822
ENSG00000262092 	 ENST00000573442 	 ENSE00002823897
ENSG00000262092 	 ENST00000573442 	 ENSE00002808557
ENSG00000262092 	 ENST00000573442 	 ENSE00002910939
ENSG00000262092 	 ENST00000573442 	 ENSE00002969998
ENSG00000262092 	 ENST00000573442 	 ENSE00002879506
ENSG00000262092 	 ENST00000573442 	 ENSE00002658643
ENSG00000262092 	 ENST00000573442 	 ENSE00002682412
ENSG00000262092 	 ENST00000573442 	 ENSE00002635216
ENSG00000262092 	 ENST00000573442 	 ENSE00002829405
ENSG00000262287 	 ENST00000576261 	 ENSE00002830676
ENSG00000262287 	 ENST00000576261 	 ENSE00002810898
ENSG00000262287 	 ENST00000576261 	 ENSE00002821548
ENSG00000262287 	 ENST00000576261 	 ENSE00002878122
ENSG00000262287 	 ENST00000576261 	 ENSE00002943266
ENSG00000262287 	 ENST00000576261 	 ENSE00002862725
ENSG00000262287 	 ENST00000576261 	 ENSE00002854052
ENSG00000262287 	 ENST00000576261 	 ENSE00002913253
ENSG00000262287 	 ENST00000576261 	 ENSE00002874099
ENSG00000262287 	 ENST00000576261 	 ENSE00002864504
ENSG00000262287 	 ENST00000576261 	 ENSE00002967482
ENSG00000262287 	 ENST00000576261 	 ENSE00002942792
ENSG00000262287 	 ENST00000576261 	 ENSE00002758088
ENSG00000262287 	 ENST00000576261 	 ENSE00002782167
ENSG00000262287 	 ENST00000576261 	 ENSE00002895312
ENSG00000262287 	 ENST00000576261 	 ENSE00002860092
ENSG00000262287 	 ENST00000576261 	 ENSE00002654022
ENSG00000262287 	 ENST00000576261 	 ENSE00002644836
ENSG00000262287 	 ENST00000576261 	 ENSE00002666439
ENSG00000262287 	 ENST00000576261 	 ENSE00002673054
ENSG00000262287 	 ENST00000571474 	 ENSE00002682709
ENSG00000262287 	 ENST00000571474 	 ENSE00002854052
ENSG00000262287 	 ENST00000571474 	 ENSE00002913253
ENSG00000262287 	 ENST00000571474 	 ENSE00002874099
ENSG00000262287 	 ENST00000571474 	 ENSE00002864504
ENSG00000262287 	 ENST00000571474 	 ENSE00002967482
ENSG00000262287 	 ENST00000571474 	 ENSE00002942792
ENSG00000262287 	 ENST00000571474 	 ENSE00002758088
ENSG00000262287 	 ENST00000571474 	 ENSE00002782167
ENSG00000262287 	 ENST00000571474 	 ENSE00002895312
ENSG00000262287 	 ENST00000571474 	 ENSE00002860092
ENSG00000262287 	 ENST00000571474 	 ENSE00002654022
ENSG00000262287 	 ENST00000571474 	 ENSE00002644836
ENSG00000262287 	 ENST00000571474 	 ENSE00002666439
ENSG00000262287 	 ENST00000571474 	 ENSE00002874585
ENSG00000262835 	 ENST00000577025 	 ENSE00002792406
ENSG00000262835 	 ENST00000577025 	 ENSE00002937604
ENSG00000262835 	 ENST00000577025 	 ENSE00002926342
ENSG00000262835 	 ENST00000577025 	 ENSE00002833099
ENSG00000262835 	 ENST00000577025 	 ENSE00002935737
ENSG00000262835 	 ENST00000577025 	 ENSE00002840182
ENSG00000262835 	 ENST00000577025 	 ENSE00002968126
ENSG00000262835 	 ENST00000577025 	 ENSE00002851668
ENSG00000262835 	 ENST00000577025 	 ENSE00002876464
ENSG00000262835 	 ENST00000577025 	 ENSE00002935770
ENSG00000262835 	 ENST00000577025 	 ENSE00002955843
ENSG00000262835 	 ENST00000577025 	 ENSE00002877925
ENSG00000262835 	 ENST00000577025 	 ENSE00002875142
ENSG00000262835 	 ENST00000577025 	 ENSE00002858082
ENSG00000262835 	 ENST00000577025 	 ENSE00002773830
ENSG00000262835 	 ENST00000577025 	 ENSE00002895394
ENSG00000262835 	 ENST00000577025 	 ENSE00002643709
ENSG00000262835 	 ENST00000577025 	 ENSE00002646041
ENSG00000262835 	 ENST00000577025 	 ENSE00002656322
ENSG00000262835 	 ENST00000577025 	 ENSE00002644956
ENSG00000262835 	 ENST00000576005 	 ENSE00002652658
ENSG00000262835 	 ENST00000576005 	 ENSE00002968126
ENSG00000262835 	 ENST00000576005 	 ENSE00002851668
ENSG00000262835 	 ENST00000576005 	 ENSE00002876464
ENSG00000262835 	 ENST00000576005 	 ENSE00002935770
ENSG00000262835 	 ENST00000576005 	 ENSE00002955843
ENSG00000262835 	 ENST00000576005 	 ENSE00002877925
ENSG00000262835 	 ENST00000576005 	 ENSE00002875142
ENSG00000262835 	 ENST00000576005 	 ENSE00002858082
ENSG00000262835 	 ENST00000576005 	 ENSE00002773830
ENSG00000262835 	 ENST00000576005 	 ENSE00002895394
ENSG00000262835 	 ENST00000576005 	 ENSE00002643709
ENSG00000262835 	 ENST00000576005 	 ENSE00002646041
ENSG00000262835 	 ENST00000576005 	 ENSE00002656322
ENSG00000262835 	 ENST00000576005 	 ENSE00002943972
ENSG00000262467 	 ENST00000575092 	 ENSE00002853778
ENSG00000262467 	 ENST00000575092 	 ENSE00002750391
ENSG00000262467 	 ENST00000575092 	 ENSE00002963420
ENSG00000262467 	 ENST00000575092 	 ENSE00002839552
ENSG00000262467 	 ENST00000575092 	 ENSE00002937551
ENSG00000262467 	 ENST00000575092 	 ENSE00002804555
ENSG00000262467 	 ENST00000575092 	 ENSE00002910285
ENSG00000262467 	 ENST00000575092 	 ENSE00002907133
ENSG00000262467 	 ENST00000575092 	 ENSE00002831012
ENSG00000262467 	 ENST00000575092 	 ENSE00002901250
ENSG00000262467 	 ENST00000575092 	 ENSE00002779423
ENSG00000262467 	 ENST00000575092 	 ENSE00002819549
ENSG00000262467 	 ENST00000575092 	 ENSE00002799333
ENSG00000262467 	 ENST00000575092 	 ENSE00002836247
ENSG00000262467 	 ENST00000575092 	 ENSE00002965578
ENSG00000262467 	 ENST00000575092 	 ENSE00002887128
ENSG00000262467 	 ENST00000575092 	 ENSE00002642261
ENSG00000262467 	 ENST00000575092 	 ENSE00002662985
ENSG00000262467 	 ENST00000575092 	 ENSE00002678223
ENSG00000262467 	 ENST00000575092 	 ENSE00002641200
ENSG00000262467 	 ENST00000573454 	 ENSE00002637801
ENSG00000262467 	 ENST00000573454 	 ENSE00002910285
ENSG00000262467 	 ENST00000573454 	 ENSE00002907133
ENSG00000262467 	 ENST00000573454 	 ENSE00002831012
ENSG00000262467 	 ENST00000573454 	 ENSE00002901250
ENSG00000262467 	 ENST00000573454 	 ENSE00002779423
ENSG00000262467 	 ENST00000573454 	 ENSE00002819549
ENSG00000262467 	 ENST00000573454 	 ENSE00002799333
ENSG00000262467 	 ENST00000573454 	 ENSE00002836247
ENSG00000262467 	 ENST00000573454 	 ENSE00002965578
ENSG00000262467 	 ENST00000573454 	 ENSE00002887128
ENSG00000262467 	 ENST00000573454 	 ENSE00002642261
ENSG00000262467 	 ENST00000573454 	 ENSE00002662985
ENSG00000262467 	 ENST00000573454 	 ENSE00002678223
ENSG00000262467 	 ENST00000573454 	 ENSE00002936306
ENSG00000262225 	 ENST00000574541 	 ENSE00002873212
ENSG00000262225 	 ENST00000574541 	 ENSE00002806394
ENSG00000262225 	 ENST00000574541 	 ENSE00002849031
ENSG00000262225 	 ENST00000574541 	 ENSE00002824854
ENSG00000262225 	 ENST00000574541 	 ENSE00002798063
ENSG00000262225 	 ENST00000574541 	 ENSE00002743909
ENSG00000262225 	 ENST00000574541 	 ENSE00002801828
ENSG00000262225 	 ENST00000574541 	 ENSE00002884149
ENSG00000262225 	 ENST00000574541 	 ENSE00002920088
ENSG00000262225 	 ENST00000574541 	 ENSE00002819858
ENSG00000262225 	 ENST00000574541 	 ENSE00002930738
ENSG00000262225 	 ENST00000574541 	 ENSE00002817480
ENSG00000262225 	 ENST00000574541 	 ENSE00002738630
ENSG00000262225 	 ENST00000574541 	 ENSE00002751226
ENSG00000262225 	 ENST00000574541 	 ENSE00002843221
ENSG00000262225 	 ENST00000574541 	 ENSE00002967394
ENSG00000262225 	 ENST00000574541 	 ENSE00002641412
ENSG00000262225 	 ENST00000574541 	 ENSE00002677112
ENSG00000262225 	 ENST00000574541 	 ENSE00002650448
ENSG00000262225 	 ENST00000574541 	 ENSE00002660986
ENSG00000262225 	 ENST00000571441 	 ENSE00002668079
ENSG00000262225 	 ENST00000571441 	 ENSE00002801828
ENSG00000262225 	 ENST00000571441 	 ENSE00002884149
ENSG00000262225 	 ENST00000571441 	 ENSE00002920088
ENSG00000262225 	 ENST00000571441 	 ENSE00002819858
ENSG00000262225 	 ENST00000571441 	 ENSE00002930738
ENSG00000262225 	 ENST00000571441 	 ENSE00002817480
ENSG00000262225 	 ENST00000571441 	 ENSE00002738630
ENSG00000262225 	 ENST00000571441 	 ENSE00002751226
ENSG00000262225 	 ENST00000571441 	 ENSE00002843221
ENSG00000262225 	 ENST00000571441 	 ENSE00002967394
ENSG00000262225 	 ENST00000571441 	 ENSE00002641412
ENSG00000262225 	 ENST00000571441 	 ENSE00002677112
ENSG00000262225 	 ENST00000571441 	 ENSE00002650448
ENSG00000262225 	 ENST00000571441 	 ENSE00002780997
ENSG00000262878 	 ENST00000574658 	 ENSE00002925192
ENSG00000262878 	 ENST00000574658 	 ENSE00002749823
ENSG00000262878 	 ENST00000574658 	 ENSE00002845911
ENSG00000262878 	 ENST00000574658 	 ENSE00002806686
ENSG00000262878 	 ENST00000574658 	 ENSE00002965659
ENSG00000262878 	 ENST00000574658 	 ENSE00002867062
ENSG00000262878 	 ENST00000574658 	 ENSE00002774651
ENSG00000262878 	 ENST00000574658 	 ENSE00002967677
ENSG00000262878 	 ENST00000574658 	 ENSE00002871617
ENSG00000262878 	 ENST00000574658 	 ENSE00002806531
ENSG00000262878 	 ENST00000574658 	 ENSE00002838134
ENSG00000262878 	 ENST00000574658 	 ENSE00002906346
ENSG00000262878 	 ENST00000574658 	 ENSE00002829630
ENSG00000262878 	 ENST00000574658 	 ENSE00002794138
ENSG00000262878 	 ENST00000574658 	 ENSE00002917960
ENSG00000262878 	 ENST00000574658 	 ENSE00002790703
ENSG00000262878 	 ENST00000574658 	 ENSE00002660126
ENSG00000262878 	 ENST00000574658 	 ENSE00002642767
ENSG00000262878 	 ENST00000574658 	 ENSE00002645869
ENSG00000262878 	 ENST00000574658 	 ENSE00002657723
ENSG00000262878 	 ENST00000574553 	 ENSE00002652704
ENSG00000262878 	 ENST00000574553 	 ENSE00002774651
ENSG00000262878 	 ENST00000574553 	 ENSE00002967677
ENSG00000262878 	 ENST00000574553 	 ENSE00002871617
ENSG00000262878 	 ENST00000574553 	 ENSE00002806531
ENSG00000262878 	 ENST00000574553 	 ENSE00002838134
ENSG00000262878 	 ENST00000574553 	 ENSE00002906346
