Approved Symbol	Approved Name	Previous Symbols	Previous Names	Synonyms	Name Synonyms	Ensembl ID(supplied by Ensembl)
AAC2~withdrawn	symbol withdrawn, see NAT2					
AACS	acetoacetyl-CoA synthetase			FLJ12389, SUR-5, ACSF1	"acyl-CoA synthetase family member 1"	ENSG00000081760
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL	"acetoacetyl-CoA synthetase-like"			ENSG00000250420
AACT~withdrawn	symbol withdrawn, see SERPINA3					
AADAC	arylacetamide deacetylase		"arylacetamide deacetylase (esterase)"	DAC, CES5A1		ENSG00000114771
AADACL2	arylacetamide deacetylase-like 2			MGC72001		
AADACL3	arylacetamide deacetylase-like 3			OTTHUMG00000001887		ENSG00000188984
AADACL4	arylacetamide deacetylase-like 4			OTTHUMG00000001889		ENSG00000204518
AADAT	aminoadipate aminotransferase			KATII, KAT2	"kynurenine aminotransferase II", "L kynurenine/alpha aminoadipate aminotransferase"	ENSG00000109576
AAED1	AhpC/TSA antioxidant enzyme domain containing 1	C9orf21	"chromosome 9 open reading frame 21"			ENSG00000158122
AAGAB	alpha- and gamma-adaptin binding protein			FLJ11506, p34		ENSG00000103591
AAK1	AP2 associated kinase 1			KIAA1048, DKFZp686K16132		ENSG00000115977
AAMDC	adipogenesis associated, Mth938 domain containing	C11orf67	"chromosome 11 open reading frame 67"	PTD015, FLJ21035, CK067		ENSG00000087884
AAMP	angio-associated, migratory cell protein					ENSG00000127837
AANAT	aralkylamine N-acetyltransferase		"arylalkylamine N-acetyltransferase"	SNAT	"serotonin N-acetyltransferase"	ENSG00000129673
AAR2	AAR2 splicing factor homolog (S. cerevisiae)	C20orf4	"chromosome 20 open reading frame 4"	bA234K24.2		ENSG00000131043
AARD	alanine and arginine rich domain containing protein	C8orf85	"chromosome 8 open reading frame 85"	LOC441376	"Alanine and arginine-rich domain-containing protein"	ENSG00000205002
AARS	alanyl-tRNA synthetase				"alanine tRNA ligase 1, cytoplasmic"	ENSG00000090861
AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	"alanyl-tRNA synthetase like", "alanyl-tRNA synthetase 2, mitochondrial (putative)"	KIAA1270, bA444E17.1	"alanine tRNA ligase 2, mitochondrial"	ENSG00000124608
AARSD1	alanyl-tRNA synthetase domain containing 1			MGC2744		ENSG00000266967
AASDH	aminoadipate-semialdehyde dehydrogenase			NRPS998, LYS2, ACSF4	"acyl-CoA synthetase family member 4"	ENSG00000157426
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase			LYS5, CGI-80, AASD-PPT		ENSG00000149313
AASS	aminoadipate-semialdehyde synthase			LORSDH, LKRSDH		ENSG00000008311
AATF	apoptosis antagonizing transcription factor			DED, CHE-1, CHE1, BFR2		ENSG00000108270
AATK	apoptosis-associated tyrosine kinase			AATYK, KIAA0641, LMTK1, LMR1, AATYK1	"lemur tyrosine kinase 1"	ENSG00000181409
AATK-AS1	AATK antisense RNA 1		"AATK antisense RNA 1 (non-protein coding)"			ENSG00000225180
AAVS1	adeno-associated virus integration site 1			AAV		
AA~withdrawn	symbol withdrawn, see TEAD1					
ABAT	4-aminobutyrate aminotransferase			GABAT	"4-aminobutyrate transaminase"	ENSG00000183044
ABC1~withdrawn	symbol withdrawn, see ABCA1					
ABC2~withdrawn	symbol withdrawn, see ABCA2					
ABC3~withdrawn	symbol withdrawn, see ABCA3					
ABC7~withdrawn	symbol withdrawn, see ABCB7					
ABC50~withdrawn	symbol withdrawn, see ABCF1					
ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	ABC1, HDLDT1		TGD	"Tangier disease"	ENSG00000165029
ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	ABC2				ENSG00000107331
ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	ABC3		ABC-C, EST111653, LBM180		ENSG00000167972
ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	STGD1, ABCR, RP19, STGD	"ATP-binding cassette transporter, retinal-specific"	FFM, ARMD2, CORD3	"Stargardt disease"	ENSG00000198691
ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5			EST90625		ENSG00000154265
ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6			EST155051		ENSG00000154262
ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7			ABCX		ENSG00000064687
ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8			KIAA0822		ENSG00000141338
ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9			EST640918		ENSG00000154258
ABCA9-AS1	ABCA9 antisense RNA 1		"ABCA9 antisense RNA 1 (non-protein coding)"			ENSG00000231749
ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10			EST698739		ENSG00000154263
ABCA11P	ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene	ABCA11		EST1133530, FLJ14297		
ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	ICR2B	"ichthyosis congenita II, lamellar ichthyosis B"	DKFZP434G232, LI2		ENSG00000144452
ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13			FLJ33876, FLJ33951		ENSG00000179869
ABCA17P	ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene					ENSG00000238098
ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	PGY1, MDR1, CLCS	"colchicin sensitivity"	P-gp, CD243, GP170, ABC20	"multidrug resistance protein 1"	ENSG00000085563
ABCB2~withdrawn	symbol withdrawn, see TAP1					
ABCB3~withdrawn	symbol withdrawn, see TAP2					
ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	PGY3, MDR3		MDR2, PFIC-3, GBD1		ENSG00000005471
ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5			EST422562, ABCB5beta, ABCB5alpha	"P-glycoprotein ABCB5", "ATP-binding cassette protein"	ENSG00000004846
ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6			EST45597, umat, MTABC3	"ATP-binding cassette half-transporter"	ENSG00000115657
ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	ABC7		EST140535, Atm1p, ASAT		ENSG00000131269
ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8			EST328128, M-ABC1, MABC1	"mitochondrial ABC protein"	ENSG00000197150
ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9			EST122234		ENSG00000150967
ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10			EST20237, M-ABC2, MTABC2	"ATP-binding cassette sub-family B member 10, mitochondrial", "ATP-binding cassette transporter 10", "ABC transporter 10 protein", "mitochondrial ATP-binding cassette 2"	ENSG00000135776
ABCB10P1	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1	ABCB10P, ABCB10P2	"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene", "ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 2"	M-ABC2, MABC2		ENSG00000259689
ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1					
ABCB10P3	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3					ENSG00000261524
ABCB10P4	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4					
ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	BSEP, PFIC2	"progressive familial intrahepatic cholestasis 2", "bile salt export pump"	ABC16, SPGP, PFIC-2, PGY4	"ABC member 16, MDR/TAP subfamily"	
ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	MRP, MRP1	"multidrug resistance associated protein 1"	GS-X		ENSG00000103222
ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	CMOAT	"canalicular multispecific organic anion transporter 1"	DJS, MRP2, cMRP		ENSG00000023839
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3			MRP3, cMOAT2, EST90757, MLP2, MOAT-D	"canalicular multispecific organic anion transporter 2"	ENSG00000108846
ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4			MRP4, EST170205, MOAT-B, MOATB	"canalicular multispecific organic anion transporter (ABC superfamily)", "bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)", "multidrug resistance-associated protein 4", "multispecific organic anion transporter B"	ENSG00000125257
ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5			MRP5, SMRP, EST277145, MOAT-C		ENSG00000114770
ABCC5-AS1	ABCC5 antisense RNA 1		"ABCC5 antisense RNA 1 (non-protein coding)"			ENSG00000223882
ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	ARA, PXE	"pseudoxanthoma elasticum"	MRP6, EST349056, MLP1, URG7		ENSG00000091262
ABCC6P1	ATP-binding cassette, sub-family C, member 6 pseudogene 1					ENSG00000256340
ABCC6P2	ATP-binding cassette, sub-family C, member 6 pseudogene 2					ENSG00000255277
ABCC7~withdrawn	symbol withdrawn, see CFTR					
ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	SUR, HRINS		HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	"sulfonylurea receptor (hyperinsulinemia)"	ENSG00000006071
ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9			SUR2, CMD1O	"sulfonylurea receptor 2"	ENSG00000069431
ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10			EST182763, MRP7, SIMRP7		ENSG00000124574
ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11			MRP8		ENSG00000121270
ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12			MRP9		ENSG00000140798
ABCC13	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene		"ATP-binding cassette, sub-family C (CFTR/MRP), member 13"	PRED6, C21orf73		ENSG00000243064
ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	ALD		AMN, ALDP, adrenoleukodystrophy		
ABCD1P1	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1					
ABCD1P2	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2			bA453N3.6		ENSG00000215151
ABCD1P3	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3					ENSG00000261233
ABCD1P4	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4					
ABCD1P5	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 5					ENSG00000214330
ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	ALDL1		ALDR, ALDRP		ENSG00000173208
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	PXMP1		PMP70, ZWS2		ENSG00000117528
ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	PXMP1L		PMP69, P70R, EST352188		ENSG00000119688
ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	RNASEL1, RNASELI, RNS4I		RLI, OABP		ENSG00000164163
ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	ABC50		EST123147		
ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2			EST133090, ABC28, M-ABC1, HUSSY-18		ENSG00000033050
ABCF2P1	ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 1					ENSG00000242159
ABCF2P2	ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 2					ENSG00000228769
ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3			EST201864		ENSG00000161204
ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1			ABC8	"ATP-binding cassette transporter 8"	ENSG00000160179
ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2			EST157481, MXR, BCRP, ABCP, CD338		ENSG00000118777
ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4			WHITE2	"putative ABC transporter", "ATP-binding cassette, subfamily G, member 4"	ENSG00000172350
ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5			STSL	"sterolin 1"	ENSG00000138075
ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8		"ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)"	GBD4	"gallbladder disease 4", "sterolin 2"	ENSG00000143921
ABCR~withdrawn	symbol withdrawn, see ABCA4					
ABHD1	abhydrolase domain containing 1			LABH1, FLJ36128		ENSG00000143994
ABHD2	abhydrolase domain containing 2			LABH2		ENSG00000140526
ABHD3	abhydrolase domain containing 3			LABH3		ENSG00000158201
ABHD4	abhydrolase domain containing 4			FLJ12816		ENSG00000100439
ABHD5	abhydrolase domain containing 5			CGI-58, NCIE2		ENSG00000011198
ABHD6	abhydrolase domain containing 6					ENSG00000163686
ABHD8	abhydrolase domain containing 8			FLJ11743, MGC14280, MGC2512		ENSG00000127220
ABHD10	abhydrolase domain containing 10			FLJ11342		ENSG00000144827
ABHD11	abhydrolase domain containing 11	WBSCR21	"Williams Beuren syndrome chromosome region 21"	PP1226		
ABHD11-AS2~withdrawn	entry withdrawn					
ABHD12	abhydrolase domain containing 12	C20orf22	"chromosome 20 open reading frame 22"	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A		ENSG00000100997
ABHD12B	abhydrolase domain containing 12B	C14orf29	"chromosome 14 open reading frame 29"	BEM46L3		ENSG00000131969
ABHD13	abhydrolase domain containing 13	C13orf6	"chromosome 13 open reading frame 6"	bA153I24.2, FLJ14906, BEM46L1		ENSG00000139826
ABHD14A	abhydrolase domain containing 14A			DKFZP564O243, DORZ1		ENSG00000248487
ABHD14A-ACY1	ABHD14A-ACY1 readthrough (NMD candidate)					ENSG00000114786
ABHD14B	abhydrolase domain containing 14B			MGC15429, CIB		ENSG00000114779
ABHD15	abhydrolase domain containing 15					ENSG00000168792
ABHD16A	abhydrolase domain containing 16A	BAT5	"HLA-B associated transcript 5"	NG26, D6S82E		
ABHD16B	abhydrolase domain containing 16B	C20orf135	"chromosome 20 open reading frame 135"	dJ591C20.1		ENSG00000183260
ABHD17A	abhydrolase domain containing 17A	C19orf27, FAM108A1	"chromosome 19 open reading frame 27", "family with sequence similarity 108, member A1"	MGC5244		ENSG00000129968
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	FAM108A2	"family with sequence similarity 108, member A2"	C1orf47		
ABHD17AP2	abhydrolase domain containing 17A pseudogene 2	FAM108A3, FAM108A11P, FAM108A3P	"family with sequence similarity 108, member A3", "family with sequence similarity 108, member A11, pseudogene", "family with sequence similarity 108, member A3, pseudogene"			ENSG00000198658
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	FAM108A4, FAM108A4P	"family with sequence similarity 108, member A4", "family with sequence similarity 108, member A4, pseudogene"			ENSG00000250536
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	FAM108A5, FAM108A5P	"family with sequence similarity 108, member A5", "family with sequence similarity 108, member A5, pseudogene"			ENSG00000229107
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	FAM108A6, FAM108A6P	"family with sequence similarity 108, member A6", "family with sequence similarity 108, member A6, pseudogene"			ENSG00000182502
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	FAM108A7P	"family with sequence similarity 108, member A7, pseudogene"			ENSG00000226981
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	FAM108A8P	"family with sequence similarity 108, member A8, pseudogene"			
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	FAM108A9P	"family with sequence similarity 108, member A9, pseudogene"			
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	FAM108A10P	"family with sequence similarity 108, member A10, pseudogene"			
ABHD17B	abhydrolase domain containing 17B	C9orf77, FAM108B1	"chromosome 9 open reading frame 77", "family with sequence similarity 108, member B1"	CGI-67		ENSG00000107362
ABHD17C	abhydrolase domain containing 17C	FAM108C1	"family with sequence similarity 108, member C1"			ENSG00000136379
ABI1	abl-interactor 1	SSH3BP1	"spectrin SH3 domain binding protein 1"	E3B1, ABI-1		ENSG00000136754
ABI1P1	abl-interactor 1 pseudogene 1	SSH3BP1P, ABI1P	"spectrin SH3 domain binding protein 1 pseudogene", "abl-interactor 1 pseudogene"			
ABI2	abl-interactor 2			ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2		ENSG00000138443
ABI3	ABI family, member 3			NESH, SSH3BP3		ENSG00000108798
ABI3BP	ABI family, member 3 (NESH) binding protein			NESHBP, DKFZP586L2024, TARSH	"target of Nesh-SH3"	ENSG00000154175
ABL1	c-abl oncogene 1, non-receptor tyrosine kinase	ABL	"v-abl Abelson murine leukemia viral oncogene homolog 1", "c-abl oncogene 1, receptor tyrosine kinase"	JTK7, c-ABL, p150		ENSG00000097007
ABL2	c-abl oncogene 2, non-receptor tyrosine kinase	ABLL	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)", "v-abl Abelson murine leukemia viral oncogene homolog 2"	ARG	"Abelson-related gene"	ENSG00000143322
ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM		abLIM, limatin		ENSG00000099204
ABLIM2	actin binding LIM protein family, member 2		"actin binding LIM protein 2"	KIAA1808		ENSG00000163995
ABLIM3	actin binding LIM protein family, member 3			KIAA0843		ENSG00000173210
ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)			A3GALNT, A3GALT1		
ABR	active BCR-related		"active BCR-related gene"	MDB		ENSG00000159842
ABRA	actin-binding Rho activating protein			STARS	"striated muscle activator of Rho-dependent signaling"	ENSG00000174429
ABRACL	ABRA C-terminal like	C6orf115	"chromosome 6 open reading frame 115"	PRO2013, HSPC280, Costars		ENSG00000146386
ABT1	activator of basal transcription 1					
ABT1P1	activator of basal transcription 1 pseudogene 1					ENSG00000250496
ABTB1	ankyrin repeat and BTB (POZ) domain containing 1			BPOZ, EF1ABP, Btb3, BTBD21		ENSG00000114626
ABTB2	ankyrin repeat and BTB (POZ) domain containing 2			DKFZP586C1619, BTBD22, ABTB2A		ENSG00000166016
ACAA1	acetyl-CoA acyltransferase 1		"acetyl-Coenzyme A acyltransferase 1"		"peroxisomal 3-oxoacyl-Coenzyme A thiolase"	ENSG00000060971
ACAA2	acetyl-CoA acyltransferase 2		"acetyl-Coenzyme A acyltransferase 2"	DSAEC	"mitochondrial 3-oxoacyl-Coenzyme A thiolase"	ENSG00000167315
ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	"acetyl-Coenzyme A carboxylase alpha"	ACC1	"acetyl-CoA carboxylase 1"	ENSG00000132142
ACACB	acetyl-CoA carboxylase beta		"acetyl-Coenzyme A carboxylase beta"	HACC275, ACC2, ACCB	"acetyl-CoA carboxylase 2"	ENSG00000076555
ACAD8	acyl-CoA dehydrogenase family, member 8		"acyl-Coenzyme A dehydrogenase family, member 8"			ENSG00000151498
ACAD9	acyl-CoA dehydrogenase family, member 9		"acyl-Coenzyme A dehydrogenase family, member 9"	NPD002, MGC14452		ENSG00000177646
ACAD10	acyl-CoA dehydrogenase family, member 10		"acyl-Coenzyme A dehydrogenase family, member 10"	MGC5601		ENSG00000111271
ACAD11	acyl-CoA dehydrogenase family, member 11		"acyl-Coenzyme A dehydrogenase family, member 11"	FLJ12592		ENSG00000240303
ACADL	acyl-CoA dehydrogenase, long chain		"acyl-Coenzyme A dehydrogenase, long chain"	LCAD, ACAD4		ENSG00000115361
ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain		"acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain"	MCAD, MCADH, ACAD1		ENSG00000117054
ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain		"acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain"	SCAD, ACAD3		ENSG00000122971
ACADSB	acyl-CoA dehydrogenase, short/branched chain		"acyl-Coenzyme A dehydrogenase, short/branched chain"	SBCAD, ACAD7		ENSG00000196177
ACADVL	acyl-CoA dehydrogenase, very long chain		"acyl-Coenzyme A dehydrogenase, very long chain"	VLCAD, LCACD, ACAD6		ENSG00000072778
ACAD~withdrawn	entry withdrawn					
ACAN	aggrecan	MSK16, CSPG1, AGC1	"chondroitin sulfate proteoglycan 1", "aggrecan 1"	CSPGCP	"aggrecan proteoglycan"	ENSG00000157766
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	"centaurin, beta 1"	KIAA0050		ENSG00000072818
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	"centaurin, beta 2"	KIAA0041, CNT-B2		ENSG00000114331
ACAP2-IT1	ACAP2 intronic transcript 1 (non-protein coding)					ENSG00000229325
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	"centaurin, beta 5"	KIAA1716		ENSG00000131584
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	"acetyl-Coenzyme A acetyltransferase 1"	THIL	"acetoacetyl Coenzyme A thiolase"	ENSG00000075239
ACAT2	acetyl-CoA acetyltransferase 2		"acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)", "acetyl-Coenzyme A acetyltransferase 2"		"acetoacetyl Coenzyme A thiolase"	ENSG00000120437
ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	"golgi complex associated protein 1, 60kDa", "acyl-Coenzyme A binding domain containing 3"	GCP60, PAP7	"PBR- and PKA-associated protein 7"	ENSG00000182827
ACBD4	acyl-CoA binding domain containing 4		"acyl-Coenzyme A binding domain containing 4"	FLJ13322		ENSG00000181513
ACBD5	acyl-CoA binding domain containing 5		"acyl-Coenzyme A binding domain containing 5"	DKFZp434A2417, KIAA1996		ENSG00000107897
ACBD6	acyl-CoA binding domain containing 6		"acyl-Coenzyme A binding domain containing 6"	MGC2404		ENSG00000135847
ACBD7	acyl-CoA binding domain containing 7		"acyl-Coenzyme A binding domain containing 7"	FLJ38219, bA455B2.2		ENSG00000176244
ACBP~withdrawn	symbol withdrawn, see CPN2					
ACCN~withdrawn	symbol withdrawn, see ASIC2					
ACCPN~withdrawn	symbol withdrawn, see SLC12A6					
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)			PHACS, ACS		ENSG00000110455
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like					ENSG00000205126
ACC~withdrawn	symbol withdrawn, see ACACA					
ACD	adrenocortical dysplasia homolog (mouse)			Ptop, Pip1, Tpp1, Tint1	"TIN2 interacting protein 1", "POT1 and TIN2 organizing protein"	ENSG00000102977
ACE	angiotensin I converting enzyme	DCP1	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"	ACE1, CD143	"peptidyl-dipeptidase A"	ENSG00000159640
ACE2	angiotensin I converting enzyme 2		"angiotensin I converting enzyme (peptidyl-dipeptidase A) 2"		"peptidyl-dipeptidase A"	ENSG00000130234
ACE3P	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene					ENSG00000224353
ACER1	alkaline ceramidase 1	ASAH3	"N-acylsphingosine amidohydrolase (alkaline ceramidase) 3"			ENSG00000167769
ACER2	alkaline ceramidase 2	ASAH3L	"N-acylsphingosine amidohydrolase 3-like"	FLJ41587		ENSG00000177076
ACER3	alkaline ceramidase 3	PHCA	"phytoceramidase, alkaline"	FLJ11238, APHC	"alkaline phytoceramidase"	
ACHAP~withdrawn	symbol withdrawn, see CUTA					
ACHE	acetylcholinesterase (Yt blood group)	YT	"acetylcholinesterase (YT blood group)", "acetylcholinesterase (Yt blood group)", "acetylcholinesterase"		"Yt blood group"	ENSG00000087085
ACHM1~withdrawn	symbol withdrawn, see CNGB3					
ACHM2~withdrawn	symbol withdrawn, see CNGA3					
ACHM3~withdrawn	symbol withdrawn, see CNGB3					
ACHRD~withdrawn	symbol withdrawn, see CHRND					
ACHRG~withdrawn	symbol withdrawn, see CHRNG					
ACH~withdrawn	symbol withdrawn, see FGFR3					
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	"apoptotic chromatin condensation inducer in the nucleus"	KIAA0670, fSAP152	"functional spliceosome-associated protein 152"	ENSG00000100813
ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	"chemokine binding protein 2"	CCR10, D6, CCR9		ENSG00000144648
ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	"chemokine orphan receptor 1", "chemokine (C-X-C motif) receptor 7"	RDC1, GPR159		ENSG00000144476
ACKR4	atypical chemokine receptor 4	CCRL1	"chemokine (C-C motif) receptor-like 1"	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1		ENSG00000129048
ACLS	acrocallosal syndrome					
ACLY	ATP citrate lyase			ATPCL, CLATP, ACL	"ATP citrate synthase"	
ACMG~withdrawn	entry withdrawn					
ACMSD	aminocarboxymuconate semialdehyde decarboxylase					ENSG00000153086
ACN9	ACN9 homolog (S. cerevisiae)			DC11		ENSG00000196636
ACO1	aconitase 1, soluble	IREB1		IRP1, IREBP	"aconitate hydratase, cytoplasmic"	ENSG00000122729
ACO2	aconitase 2, mitochondrial			ACONM	"aconitate hydratase, mitochondrial"	ENSG00000100412
ACOT1	acyl-CoA thioesterase 1			ACH2, CTE-1, LACH2		ENSG00000184227
ACOT2	acyl-CoA thioesterase 2			Mte1, ZAP128	"mitochondrial acyl-CoA thioesterase 1"	ENSG00000119673
ACOT4	acyl-CoA thioesterase 4			FLJ31235, PTE-Ib, PTE2B		ENSG00000177465
ACOT6	acyl-CoA thioesterase 6	C14orf42	"chromosome 14 open reading frame 42"			ENSG00000205669
